2026.01.10 16:18:04 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java. Using fallback presentation compiler.
2026.01.10 16:18:04 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java. Using fallback presentation compiler.
2026.01.10 16:18:04 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java. Using fallback presentation compiler.
2026.01.10 16:18:05 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java
2026.01.10 16:18:05 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java. Using fallback presentation compiler.
2026.01.10 16:18:05 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java. Using fallback presentation compiler.
2026.01.10 16:18:07 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java. Using fallback presentation compiler.
2026.01.10 16:18:07 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java. Using fallback presentation compiler.
2026.01.10 16:18:07 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java. Using fallback presentation compiler.
2026.01.10 16:18:12 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java
2026.01.10 16:18:12 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java. Using fallback presentation compiler.
2026.01.10 16:18:12 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java. Using fallback presentation compiler.
2026.01.10 16:18:14 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java. Using fallback presentation compiler.
2026.01.10 16:18:14 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java. Using fallback presentation compiler.
2026.01.10 16:18:20 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java
2026.01.10 16:18:20 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java. Using fallback presentation compiler.
2026.01.10 16:18:20 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java. Using fallback presentation compiler.
